txn_id,customer_id,amount,pan,aadhaar,timestamp
TXN001,CUST1,1200,ABCDE1234F,123456789012,2026-03-08T10:00:00
TXN002,CUST2,500,ABCDE5678G,123456789013,2026-03-08T10:10:00
TXN003,CUST3,-10,INVALIDPAN,12345,2026-03-08T10:20:00
TXN004,CUST4,3000,FGHIJ4321K,234567890123,2026-03-08T10:30:00
TXN005,CUST5,0,KLMNO8765P,345678901234,2026-03-08T10:35:00
TXN006,CUST6,850,PQRST2345L,456789012345,2026-03-08T10:40:00
TXN007,CUST7,1500,ABCDE1111F,567890123456,2026-03-08T10:45:00
TXN008,CUST8,200,ABCDE9999Z,678901234567,2026-03-08T10:50:00
TXN009,CUST9,700,ABCDE2222B,789012345678,2026-03-08T10:55:00
TXN010,CUST10,4500,ABCDE3333C,890123456789,2026-03-08T11:00:00
TXN011,CUST11,120,ABCDE4444D,901234567890,2026-03-08T11:05:00
TXN012,CUST12,300,ABCDE5555E,012345678901,2026-03-08T11:10:00
TXN013,CUST13,-50,ABCDE6666F,123456789012,2026-03-08T11:15:00
TXN014,CUST14,900,INVALIDPAN,234567890123,2026-03-08T11:20:00
TXN015,CUST15,600,ABCDE7777G,12345,2026-03-08T11:25:00
TXN016,CUST16,1100,ABCDE8888H,345678901234,2026-03-08T11:30:00
TXN017,CUST17,2500,ABCDE9999J,456789012345,2026-03-08T11:35:00
TXN018,CUST18,1000,ABCDE0000K,567890123456,2026-03-08T11:40:00
TXN019,CUST19,750,ABCDE1212L,678901234567,2026-03-08T11:45:00
TXN020,CUST20,50,ABCDE3434M,789012345678,2026-03-08T11:50:00
TXN021,CUST21,0,ABCDE5656N,890123456789,2026-03-08T11:55:00
TXN022,CUST22,150,ABCDE7878P,901234567890,2026-03-08T12:00:00
TXN023,CUST23,2000,ABCDE9090Q,012345678901,2026-03-08T12:05:00
TXN024,CUST24,1800,ABCDE1010R,123456789012,2026-03-08T12:10:00
TXN025,CUST25,600,ABCDE2020S,234567890123,2026-03-08T12:15:00
TXN026,CUST26,-5,ABCDE3030T,345678901234,2026-03-08T12:20:00
TXN027,CUST27,700,ABCDE4040U,INVALIDAADHAR,2026-03-08T12:25:00
TXN028,CUST28,950,ABCDE5050V,567890123456,2026-03-08T12:30:00
TXN029,CUST29,400,ABCDE6060W,678901234567,2026-03-08T12:35:00
TXN030,CUST30,800,ABCDE7070X,789012345678,2026-03-08T12:40:00
